weekday,hour_of_day,member_casual,rides
Tue,1,casual,1263
Tue,1,member,1262
Tue,2,casual,910
Tue,2,member,671
Tue,3,casual,549
Tue,3,member,599
Tue,4,casual,689
Tue,4,member,1178
Tue,5,casual,1652
Tue,5,member,6466
Tue,6,casual,4772
Tue,6,member,20155
Tue,7,casual,8880
Tue,7,member,41794
Tue,8,casual,12137
Tue,8,member,51918
Tue,9,casual,8057
Tue,9,member,25957
Tue,10,casual,7456
Tue,10,member,17255
Tue,11,casual,9194
Tue,11,member,19919
Tue,12,casual,10938
Tue,12,member,23257
Tue,13,casual,11214
Tue,13,member,22204
Tue,14,casual,11707
Tue,14,member,21809
Tue,15,casual,14506
Tue,15,member,32477
Tue,16,casual,20296
Tue,16,member,56219
Tue,17,casual,25496
Tue,17,member,68125
Tue,18,casual,21852
Tue,18,member,49051
Tue,19,casual,16345
Tue,19,member,33030
Tue,20,casual,11711
Tue,20,member,22447
Tue,21,casual,10028
Tue,21,member,17309
Tue,22,casual,6971
Tue,22,member,10630
Tue,23,casual,3839
Tue,23,member,5315
Wed,0,casual,2665
Wed,0,member,2713
Wed,1,casual,1616
Wed,1,member,1483
Wed,2,casual,1011
Wed,2,member,783
Wed,3,casual,568
Wed,3,member,689
Wed,4,casual,704
Wed,4,member,1087
Wed,5,casual,1844
Wed,5,member,6293
Wed,6,casual,4551
Wed,6,member,19367
Wed,7,casual,8917
Wed,7,member,39533
Wed,8,casual,11965
Wed,8,member,49443
Wed,9,casual,7943
Wed,9,member,26029
Wed,10,casual,7576
Wed,10,member,17470
Wed,11,casual,9635
Wed,11,member,20760
Wed,12,casual,11056
Wed,12,member,24155
Wed,13,casual,10604
Wed,13,member,22496
Wed,14,casual,11917
Wed,14,member,23164
Wed,15,casual,14337
Wed,15,member,32318
Wed,16,casual,20453
Wed,16,member,54160
Wed,17,casual,26032
Wed,17,member,65434
Wed,18,casual,21930
Wed,18,member,47800
Wed,19,casual,16332
Wed,19,member,31729
Wed,20,casual,12210
Wed,20,member,22455
Wed,21,casual,10356
Wed,21,member,17316
Wed,22,casual,7738
Wed,22,member,11057
Wed,23,casual,4585
Wed,23,member,5807
